"利用日/キャンセル日","利用店名・商品名","利用者","決済方法","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額","調整額","当月お支払日"
"2026/6/22","セブンーイレブン","本人*","PayPayクレジット","1回","159","0","159","159","0","0","2026/7/27"
"2026/6/23","セブンーイレブン","本人*","PayPayクレジット","1回","528","0","528","528","0","0","2026/7/27"
"2026/6/23","スギ薬局グループ","本人*","PayPayクレジット","1回","427","0","427","427","0","0","2026/7/27"
"2026/6/23","セブンーイレブン","本人*","PayPayクレジット","1回","409","0","409","409","0","0","2026/7/27"
"2026/6/24","セブンーイレブン","本人*","PayPayクレジット","1回","149","0","149","149","0","0","2026/7/27"
"2026/6/24","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/7/27"
"2026/6/25","セブンーイレブン","本人*","PayPayクレジット","1回","474","0","474","474","0","0","2026/7/27"
"2026/6/25","ジハンピ","本人*","PayPayクレジット","1回","160","0","160","160","0","0","2026/7/27"
"2026/6/25","ローソン","本人*","PayPayクレジット","1回","151","0","151","151","0","0","2026/7/27"
"2026/6/26","サンマルクカフェ","本人*","PayPayクレジット","1回","800","0","800","800","0","0","2026/7/27"
"2026/6/26","セブンーイレブン","本人*","PayPayクレジット","1回","381","0","381","381","0","0","2026/7/27"
"2026/6/27","ホームドライ","本人*","PayPayクレジット","1回","3420","0","3420","3420","0","0","2026/7/27"
"2026/6/27","ブランジェリー　コム・シノ","本人*","PayPayクレジット","1回","1058","0","1058","1058","0","0","2026/7/27"
"2026/6/27","セブンーイレブン","本人*","PayPayクレジット","1回","176","0","176","176","0","0","2026/7/27"
"2026/6/27","モバイルＩＣＯＣＡチャージ","本人*","PayPayカード","1回","5000","0","5000","5000","0","0","2026/7/27"
"2026/6/28","Ａｌｉｐａｙ＋ 韓国 2026/06/28 12:32","本人*","PayPayクレジット","1回","1470","0","1470","1470","0","0","2026/7/27"
"2026/6/28","ローソン","本人*","PayPayクレジット","1回","725","0","725","725","0","0","2026/7/27"
